total_skills_found,matched_skills_count,missing_skills_count,skill_match_percentage,project_count,experience_score,education_score,keyword_match_score,formatting_score,final_score,category
4,4,4,100.0,3,10.0,4,5,2,79,Good
19,1,12,5.3,4,11.0,4,5,4,46,Average
17,7,0,41.2,3,4.0,7,0,0,45,Average
12,5,6,41.7,3,5.0,9,1,5,55,Average
11,9,12,81.8,2,15.0,4,6,3,73,Good
21,2,14,9.5,1,13.0,9,6,3,41,Average
3,1,3,33.3,1,6.0,9,6,1,41,Average
18,2,9,11.1,4,3.0,3,1,3,34,Weak
6,5,2,83.3,0,4.0,10,5,0,52,Average
4,3,1,75.0,0,8.0,3,0,5,46,Average
14,7,5,50.0,2,9.0,9,1,4,55,Average
24,9,13,37.5,4,2.0,7,5,2,51,Average
18,2,10,11.1,3,1.0,9,6,5,43,Average
19,18,7,94.7,3,7.0,9,7,4,83,Good
18,12,4,66.7,3,12.0,9,10,0,76,Good
20,6,2,30.0,0,2.0,9,9,0,32,Weak
13,5,4,38.5,1,6.0,10,4,1,42,Average
4,3,2,75.0,0,2.0,9,8,0,49,Average
21,15,2,71.4,4,3.0,10,1,3,66,Average
12,5,10,41.7,4,9.0,7,9,3,65,Average
13,4,1,30.8,1,4.0,4,4,3,33,Weak
10,7,0,70.0,1,4.0,4,8,0,50,Average
6,4,8,66.7,1,15.0,9,10,5,72,Good
23,14,4,60.9,5,2.0,7,7,5,65,Average
19,1,6,5.3,2,3.0,3,10,3,33,Weak
16,8,2,50.0,4,14.0,4,0,0,58,Average
11,7,3,63.6,2,8.0,10,1,2,58,Average
20,19,6,95.0,4,0.0,9,6,4,77,Good
14,7,10,50.0,3,6.0,9,5,4,62,Average
12,4,6,33.3,1,9.0,3,1,1,33,Weak
12,7,8,58.3,5,4.0,3,7,4,61,Average
7,1,7,14.3,4,8.0,4,0,5,43,Average
4,0,4,0.0,4,10.0,10,10,3,53,Average
14,10,4,71.4,5,4.0,7,1,2,63,Average
22,22,6,100.0,1,12.0,9,4,3,74,Good
3,3,0,100.0,0,7.0,7,9,0,63,Average
